"client_id","clean_first_name","clean_last_name","clean_email","clean_formatted_phone"
1,"Nash","Rust","nashrust@yahoo.com","615-973-1982"
2,"Yared","Butner","yaredbutner@yahoo.com","615-973-1983"
3,"Zelalem","Mekonnen","zelalemmekonnen@client.com","615-973-1986"
4,"Bethlehem","Missing","bethlehem@client.com","615-973-1988"
5,"Michael","Jones","michaeljones@client.com","615-973-1989"
6,"Michael","Marty","michaelmarty@clients.com","615-973-1990"
7,"Asfaw","Putty","asfawputty@client.com","615-973-1991"
8,"John","Smith","johnsmith@client.com","615-973-2001"
9,"Jane","Smith","janesmith@client.com","615-973-2002"
10,"Michael","Johnson","michaeljohnson@client.com","615-973-2003"
11,"Emily","Davis","emilydavis@client.com","615-973-2004"
12,"Chris","Brown","chrisbrown@client.com","615-973-2005"
13,"Ashley","Miller","ashleymiller@client.com","615-973-2006"
14,"Daniel","Wilson","danielwilson@client.com","615-973-2007"
15,"Jessica","Moore","jessicamoore@client.com","615-973-2008"
16,"Matthew","Taylor","matthewtaylor@client.com","615-973-2009"
17,"Amanda","Anderson","amandaanderson@client.com","615-973-2010"
18,"David","Thomas","davidthomas@client.com","615-973-2011"
19,"Sarah","Jackson","sarahjackson@client.com","615-973-2012"
20,"James","White","jameswhite@client.com","615-973-2013"
21,"Linda","Harris","lindaharris@client.com","615-973-2014"
22,"Robert","Martin","robertmartin@client.com","615-973-2015"
23,"John","Smith","johnsmith@client.com","615-973-2001"
24,"John","Smith","johnsmith@client.com","615-973-2001"
25,"Daniel","Thomas","danielthomasclient.com","615-973-2016"
26,"Karen","Taylor","karentaylor@client","615-973-2017"
27,"Steven","Moore","steve moore@client.com","INVALID"
28,"Donna","Jackson","donnajackson@client.com","INVALID"
29," Mark","White "," markwhite@client.com ","615-973-2018"
30,"Nancy","Harris","nancyharris@client.com","615-973-2019"
31,"Betty","Missing","betty@client.com","615-973-2020"
32,"Missing","Clark","clark@client.com","615-973-2021"
33,"George","Lewis","Missing","615-973-2022"
34,"Helen","Lee","helenlee@client.com","INVALID"
35,"Edward","Walker","edwardwalker@client.com","615-973-2023"
36,"Susan","Hall","susanhall@client.com","615-973-2024"
