"client_id","first_name","last_name","email_address","phone_number"
1,"NASH","RUST","NASHRUST@YAHOO.COM","6159731982"
2,"YARED","BUTNER","YAREDBUTNER@YAHOO.COM","6159731983"
3,"Zelalem","MEkonnen","ZELALEMMEkonnen@CLIENT.COM","6159731986"
4,"bethlehem",NULL,"bethlehem@CLIENT.COM","6159731988"
5,"MICHAEL","JONES","MICHAELJONES@CLIENT.COM","6159731989"
6,"michael","marty","michaelmarty@clients.com","6159731990"
7,"ASFAW","PUTTY","ASFAWPUTTY@CLIENT.COM","6159731991"
8,"john","smith","JOHNSMITH@CLIENT.COM","6159732001"
9,"JANE","smith","janesmith@client.com","615-973-2002"
10,"michael","JOHNSON","MICHAELJOHNSON@CLIENT.COM","615.973.2003"
11,"emily","davis","emilydavis@CLIENT.com","6159732004"
12,"Chris","brown","CHRISBROWN@client.COM","6159732005"
13,"ashley","MILLER","ashleymiller@client.com","615 973 2006"
14,"daniel","wilson","DANIELWILSON@CLIENT.COM","6159732007"
15,"Jessica","Moore","jessicamoore@client.com","6159732008"
16,"matthew","taylor","MATTHEWTAYLOR@CLIENT.COM","615-973-2009"
17,"amanda","anderson","amandaanderson@client.com","6159732010"
18,"david","thomas","DAVIDTHOMAS@CLIENT.COM","6159732011"
19,"sarah","jackson","sarahjackson@client.com","6159732012"
20,"james","white","JAMESWHITE@CLIENT.COM","6159732013"
21,"linda","harris","lindaharris@client.com","6159732014"
22,"robert","martin","ROBERTMARTIN@CLIENT.COM","6159732015"
23,"john","smith","johnsmith@client.com","6159732001"
24,"John","Smith","JOHNSMITH@CLIENT.COM","6159732001"
25,"Daniel","Thomas","danielthomasclient.com","6159732016"
26,"Karen","Taylor","karentaylor@client","6159732017"
27,"Steven","Moore","STEVE MOORE@CLIENT.COM","abc123"
28,"Donna","Jackson","donnajackson@client.com","0000000000"
29," Mark","White "," markwhite@client.com ","615-973-2018"
30,"Nancy","Harris","nancyharris@client.com"," 6159732019"
31,"Betty",NULL,"betty@client.com","6159732020"
32,NULL,"Clark","clark@client.com","6159732021"
33,"George","Lewis",NULL,"6159732022"
34,"Helen","Lee","helenlee@client.com",NULL
